"x"
"10.18637/jss.v116.i02"
"10.1007/s40271-026-00814-5"
"10.1016/j.jsbmb.2025.106879"
"10.1016/j.semerg.2025.102585"
"10.1007/s10006-025-01407-6"
"10.1371/journal.pmen.0000506"
"10.1177/13621688251371142"
"10.3389/frai.2025.1541087"
"10.3389/ebm.2025.10238"
"10.1080/02699931.2024.2352584"
"10.1515/ling-2021-0228"
"10.3389/fpubh.2024.1354355"
"10.1037/pspa0000362"
"10.1422/109010"
"10.1016/B978-0-12-820480-1.00014-0"
