"x"
"10.1016/j.ynpai.2026.100221"
"10.1016/j.bodyim.2025.102024"
"10.1017/bpp.2025.10028"
"10.1177/01461672241273209"
"10.1109/TNSE.2026.3668009"
"10.1080/10447318.2026.2663072"
"10.1016/j.rmal.2025.100247"
"10.1007/s41811-025-00263-2"
"10.1016/j.jfludis.2025.106169"
"10.1016/j.actpsy.2025.105864"
"10.1080/09658211.2025.2492601"
"10.1037/mot0000404"
"10.1080/20008066.2025.2565058"
"10.3390/jcm14020348"
"10.1002/9781394284993"
"10.1037/xap0000552"
"10.1080/24750158.2024.2442126"
"10.1016/j.scitotenv.2024.176750"
"10.1038/s41598-024-52410-y"
"10.1007/s10902-024-00812-0"
"10.5114/pq/174936"
"10.1073/pnas.2220898120"
"10.3389/fpsyg.2024.1337834"
"10.3389/fpsyg.2024.1335548"
"10.1080/23273798.2024.2384051"
