"x"
"10.1016/j.biosystems.2026.105891"
"10.1016/j.bandl.2026.105815"
"10.1017/S0140525X25104482"
"10.1017/ehs.2026.10063"
"10.1016/B978-0-443-29068-8.00020-9"
"10.1422/109016"
