"x"
"10.4324/9781003529798-17"
"10.1111/gwao.70205"
"10.1177/02662426251410782"
"10.1108/WHATT-03-2025-0103"
"10.4337/9781035336005.00024"
"10.1108/SASBE-06-2025-0343"
"10.1017/S1743923X2500008X"
"10.4324/9781032709550_2"
"10.1109/TPS-ISA67132.2025.00085"
"10.3389/feduc.2025.1473331"
"10.7202/1122105ar"
"10.4337/9781035310661.00026"
"10.1177/00323217251375705"
"10.1080/07448481.2025.2451978"
"10.4337/9781803929972.00008"
"10.1615/JWOMENMINORSCIENENG.2023048084"
"10.5553/ELR.000255"
